"CODINST","NOMBREINSTITUCION","CODIGOMUNICIPIO","NOMBREMUNICIPIO","DEPARTAMENTO","CALENDARIO","NATURALEZA","JORNADA","EVALUADOS","PROMLECTURACRITICA","PROMMATEMATICA","PROMSOCIALESYCIUDADANAS","PROMCIENCIASNATURALES","PROMINGLES","PROMRAZONAMIENTOCUANTITA","PROMCOMPETENCIASCIUDADAN"
118919,"COLEGIO COMFACAUCA",19573,"PUERTO TEJADA","CAUCA","B","NO OFICIAL","MAÑANA",54,46.93,47.24,48.28,48.02,45.93,48.76,48.35
59188,"INST EDUC JOSE MARIA BRAVO MARQUEZ",5001,"MEDELLIN","ANTIOQUIA","A","OFICIAL","NOCHE",21,46.29,41.9,45,41.67,45.29,42.43,46.19
146977,"COLEGIO EMANUEL RUBIANO - SEDE PRINCIPAL",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","MAÑANA",6,42.5,43.67,41.33,45.67,42.83,43.5,43.17
22178,"COL SIGLO XXI",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","COMPLETA U ORDINARIA",5,54.2,51,54.2,56,57.2,50.8,55.2
77834,"CENT EDUC CAJASAN (ADULTOS)",68001,"BUCARAMANGA","SANTANDER","A","NO OFICIAL","NOCHE",7,47.43,46.71,43.43,43.29,43.57,47.57,44.57
133827,"SEDE INURBE",11001,"BOGOTÁ D.C.","BOGOTA","A","OFICIAL","MAÑANA",1,49,48,52,42,41,51,52
169664,"INSTITUTO DE CAPACITACIÓN FUTURO - INCAF - SEDE PRINCIPAL",25817,"TOCANCIPA","CUNDINAMARCA","A","NO OFICIAL","COMPLETA U ORDINARIA",39,44.51,46.23,45.05,42.74,46.62,47.67,46.33
103648,"BACHILLERATO DIVERSIFICADO A DISTANCIA PARA ADULTOS DE LA UNAD - SEDE PRINCIPAL",54518,"PAMPLONA","NORTE SANTANDER","A","NO OFICIAL","SABATINA - DOMINICAL",1,51,43,60,47,47,45,60
116327,"INSTITUCION EDUCATIVA PARA AL FORMACION EMPRESARIAL ""I F E "" - SEDE PRINCIPAL",76834,"TULUA","VALLE","B","NO OFICIAL","SABATINA - DOMINICAL",4,45.5,47.25,37.5,38.75,43,49.75,34
5785,"INSTITUCION EDUCATIVA INSTITUTO MANIZALES",17001,"MANIZALES","CALDAS","A","OFICIAL","NOCHE",24,44.38,41.42,42.08,38.46,43.25,42.79,42.67
193268,"INSTITUTO DE EDUCACIÓN FORMAL DE ADULTOS EL PENSAMIENTO DE PITÁGORAS - SEDE PRINCIPAL",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","NOCHE",17,45.18,45.12,43.47,40.82,43.41,46.76,42.65
148833,"COLEGIO ANTONIO NARIÑO - SEDE PRINCIPAL",50711,"VISTA HERMOSA","META","A","NO OFICIAL","SABATINA - DOMINICAL",10,48.1,42,44.1,38.1,42.8,42.7,45.9
144808,"CENT EDUCATIVO INTEGRAL COLOMBIANO",68276,"FLORIDABLANCA","SANTANDER","A","NO OFICIAL","SABATINA - DOMINICAL",18,46.83,45.11,49.39,45.67,44.22,45.28,48.89
170522,"ACADEMIA COLOMBIANA DE ENSEÑANZA",76520,"PALMIRA","VALLE","B","NO OFICIAL","NOCHE",15,45.87,43.53,44.07,42.53,45.47,41.2,45.13
136978,"INSTITUCION EDUCATIVA NUEVA GRANADA - SEDE PRINCIPAL",15759,"SOGAMOSO","BOYACA","A","NO OFICIAL","SABATINA - DOMINICAL",15,47.27,48.2,48.53,45.53,46.07,48.93,47.33
34306,"COL COLOMBO GALES",11001,"BOGOTÁ D.C.","BOGOTA","B","NO OFICIAL","COMPLETA U ORDINARIA",46,62.87,66.2,66.93,68.33,80.63,65.8,64.15
130534,"COLEGIO LA ARBOLEDA - SEDE PRINCIPAL",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",17,67.71,75.18,71.59,76.35,84.94,76.12,68.06
42473,"GIMN BRITANICO",25175,"CHIA","CUNDINAMARCA","B","NO OFICIAL","COMPLETA U ORDINARIA",69,68.43,69.04,70.32,72.42,83.45,69.35,66.58
106666,"CENT EDUC DIST NUEVO CHILE",11001,"BOGOTÁ D.C.","BOGOTA","A","OFICIAL","NOCHE",22,46.41,49.05,46.45,48.18,45.91,50.27,46.68
49387,"ASPAEN GIMNASIO CARTAGENA",13001,"CARTAGENA","BOLIVAR","B","NO OFICIAL","COMPLETA U ORDINARIA",34,67.09,76.53,73.5,76.53,87.62,79.94,69.76
170126,"COL TRIANGULO",25290,"FUSAGASUGA","CUNDINAMARCA","A","NO OFICIAL","SABATINA - DOMINICAL",6,43.17,47.5,41.67,47.83,45.17,47.17,42.83
168500,"COL. LOS LIBERTADORES",17001,"MANIZALES","CALDAS","A","NO OFICIAL","SABATINA - DOMINICAL",6,42.17,42.33,38.83,37.67,43.33,41.83,39
17079,"COLEGIO LEONÍSTICO LA MERCED",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",52,60.71,60.75,62.56,63.5,59.15,62.54,62.17
170100,"COL TRIANGULO",25290,"FUSAGASUGA","CUNDINAMARCA","A","NO OFICIAL","NOCHE",3,58.33,53.33,60.33,58.33,50,53.33,57.67
106856,"LICEO MAYOR TECNICO DEL VALLE",76001,"CALI","VALLE","B","NO OFICIAL","SABATINA - DOMINICAL",3,48.33,45.67,43.33,41.33,52,44.33,44.33
170449,"COL DE BTO. TECNICO EN COMERCIO Y SISTEMAS HEISENBERG",41001,"NEIVA","HUILA","A","NO OFICIAL","SABATINA - DOMINICAL",55,46.16,44.36,42.35,43.13,45.13,43.87,42.55
118042,"COL BILING RICHMOND",11001,"BOGOTÁ D.C.","BOGOTA","B","NO OFICIAL","COMPLETA U ORDINARIA",56,64.52,65.84,67.27,68.38,82.46,67.45,65.64
174110,"FUNDACIÓN EDUCATIVA ANDRÉS BELLO - SEDE PRINCIPAL",19001,"POPAYAN","CAUCA","A","NO OFICIAL","MAÑANA",1,45,43,41,47,50,42,50
136192,"FUND EDUC CENSA  JUAN SEBASTIAN GUTIERREZ BUSTAMANTE - SEDE PRINCIPAL",5001,"MEDELLIN","ANTIOQUIA","A","NO OFICIAL","TARDE",27,49.59,45,48.96,42.44,47.63,46.81,47.74
95208,"LICEO COMERCIAL Y TECNOLOGICO DEL VALLE - SEDE PRINCIPAL",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",15,44.73,43.93,44.33,41.6,46.67,43.53,46.27
167569,"INSTITUTO EDUCATIVO SEMBRANDO ALTERNATIVAS - SEDE PRINCIPAL",66170,"DOS QUEBRADAS","RISARALDA","A","NO OFICIAL","SABATINA - DOMINICAL",5,49.8,39,43.8,35.6,47.2,34.2,42.6
160234,"CONCENTRACION URBANA. MANUELA  BELTRÁN",25086,"BELTRAN","CUNDINAMARCA","A","OFICIAL","SABATINA - DOMINICAL",1,56,56,59,59,45,62,56
53082,"COLEGIO SAN PEDRO CLAVER",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",58,59.62,55.52,58.81,62.55,55.45,54.86,57.81
156026,"COLEGIO MAYOR SAN FRANCISCO DE ASIS - SEDE PRINCIPAL",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",63,57.05,58.35,57.79,60.97,58.22,58.67,57.67
169730,"COLEGIO CIES - SEDE PRINCIPAL",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","SABATINA - DOMINICAL",18,44.78,45.17,43.94,42.94,46,44.5,45.72
178236,"COLEGIO GUIAS - SEDE PRINCIPAL",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",8,59.13,59.25,61.25,60,59.38,61.38,59.5
150557,"INSTITUTO TÉCNICO OCUPACIONAL ITO - SEDE PRINCIPAL",76001,"CALI","VALLE","B","NO OFICIAL","SABATINA - DOMINICAL",10,42.6,43,44.7,39.3,44.3,43,47.3
115816,"INSTITUTO EDUCATIVO NUEVOS COMIENZOS",17380,"LA DORADA","CALDAS","A","NO OFICIAL","NOCHE",12,41.92,36.75,36.67,37.75,44.83,34.83,36.17
144899,"GIMN CACERES",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","NOCHE",4,43.75,40,42.5,36,43.75,43.5,42
110676,"COL BOSTON PEREIRA - SEDE PRINCIPAL",66001,"PEREIRA","RISARALDA","A","NO OFICIAL","MAÑANA",12,50.5,47.67,51.92,49.17,51.17,49.25,49.83
119768,"COLEGIO LOS ANDES - SEDE PRINCIPAL",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",59,51.64,51.81,51.25,50.58,51.86,53.12,51.85
157321,"COLEGIO TECNICO MUNICIPAL SIMÓN BOLIVAR",15238,"DUITAMA","BOYACA","A","OFICIAL","SABATINA - DOMINICAL",20,47.1,47.3,47,47.2,46.05,47.95,48.35
169292,"INSTITUCIÓN EDUCATIVA VIRTUAL ANDINOS - SEDE PRINCIPAL",76248,"EL CERRITO","VALLE","B","NO OFICIAL","SABATINA - DOMINICAL",12,54.5,56.25,56.25,54,58.17,56,55
95414,"COL HACIENDA LOS ALCAPARROS",25377,"LA CALERA","CUNDINAMARCA","B","NO OFICIAL","COMPLETA U ORDINARIA",45,70.4,79.11,75.04,74.64,89.02,80.64,71.67
190991,"COL. COMFANDI CALIPSO - SEDE PRINCIPAL",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",21,55.9,53.76,54.19,51.95,54.14,54.86,53.67
58701,"COLEGIO LOS ANDES",76001,"CALI","VALLE","B","NO OFICIAL","NOCHE",15,48.33,50.93,52,50.87,50.8,48.73,51.93
170506,"INSTITUTO POLITECNICO JOSE CELESTINO MUTIS",15759,"SOGAMOSO","BOYACA","A","NO OFICIAL","SABATINA - DOMINICAL",6,49,51,50,50.17,47.67,52,51.33
106724,"COLEGIO DE ADULTOS POR CICLOS INTEGRADOS GIMNASIO DEL NORTE",19698,"SANTANDER DE QUILICHAO","CAUCA","A","NO OFICIAL","SABATINA - DOMINICAL",27,45.3,43,43.26,43.67,42.7,43.67,43
62653,"LICEO MAYOR TECNICO DEL VALLE",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",13,45.08,43,44.46,43.69,47.46,42.23,45.54
31468,"COLEGIO LOS ANDES",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",68,56.22,54.76,55.57,55.76,55.78,55.5,55.4
169714,"CENTRO DE EDUCACIÓN PARA ADULTOS JERUSALEM - SEDE PRINCIPAL",8001,"BARRANQUILLA","ATLANTICO","A","NO OFICIAL","NOCHE",23,51.3,51.61,50.96,47.43,58.04,52.3,50.09
111443,"C. E. FORMAL DISCENTER S - SEDE PRINCIPAL",76111,"BUGA","VALLE","B","NO OFICIAL","NOCHE",39,47.79,45.36,46.92,42.46,48.26,46.49,46.87
105817,"COLEGIO COMFANDI REGIONAL PALMIRA SEDE PRINCIPAL",76520,"PALMIRA","VALLE","B","NO OFICIAL","MAÑANA",28,55.79,54.75,57.86,56.61,57.25,56.43,56.14
84780,"COLEGIO LA SANTISIMA TRINIDAD",19698,"SANTANDER DE QUILICHAO","CAUCA","A","NO OFICIAL","SABATINA - DOMINICAL",30,40.07,40.37,39.37,33,43.5,41.4,40.23
150409,"POLITECNICO UNIVERSAL DE CAPACITACION",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","SABATINA - DOMINICAL",7,48.71,50.57,51.71,46.57,50.71,50.71,52.14
85175,"INST TEC. DE ARTES Y OFICIOS CARL-ROS",8001,"BARRANQUILLA","ATLANTICO","A","NO OFICIAL","MAÑANA",6,42.5,44.17,43.67,41.83,43.33,43.33,44
77776,"COL FUNDACION LIC INGLES",66001,"PEREIRA","RISARALDA","B","NO OFICIAL","COMPLETA U ORDINARIA",22,65.36,71.36,68.36,72.82,85.82,72.59,65.68
135228,"ONG EDUCAR ESC DE CAPAC PETROLERA ECAPETROL - SEDE PRINCIPAL",18001,"FLORENCIA","CAQUETA","A","NO OFICIAL","SABATINA - DOMINICAL",2,46,44,47.5,44.5,43.5,44,50
84525,"INSTITUTO MIXTO BILINGÜE PABLO VI",19001,"POPAYAN","CAUCA","A","NO OFICIAL","MAÑANA",33,46.36,47.27,42.76,42.42,44.64,47.21,43.91
152454,"COLEGIO INSCEPIT - SEDE PRINCIPAL",50001,"VILLAVICENCIO","META","A","NO OFICIAL","SABATINA - DOMINICAL",7,45.43,46.86,48.14,45,48,46.29,45.86
191288,"COLEGIO RENE DESCARTES - SEDE PRINCIPAL",11001,"BOGOTÁ D.C.","BOGOTA","A","OFICIAL","SABATINA - DOMINICAL",8,46,45,42.5,41.75,48.63,47.75,43.63
130070,"FUNDACIÓN EDUCATIVA CENSA JUAN SEBASTIAN GUTIERREZ BUSTAMANTE - SEDE PRINCIPAL",5615,"RIONEGRO","ANTIOQUIA","A","NO OFICIAL","SABATINA - DOMINICAL",18,47.17,47.44,48.61,48.11,46.39,48.11,49.33
3046,"CORP CULT COL ALEMAN",8001,"BARRANQUILLA","ATLANTICO","B","NO OFICIAL","COMPLETA U ORDINARIA",63,65.9,71.89,67.25,70.98,81.02,72.87,64.11
153841,"IE CASILDA ZAFRA - SEDE PRINCIPAL",15693,"SANTA ROSA DE VITERBO","BOYACA","A","OFICIAL","SABATINA - DOMINICAL",2,39,44,38.5,37.5,41.5,47,37.5
75309,"COL SAN MATEO",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","MAÑANA",6,52.67,45.83,52.33,50,47.5,44.83,54
96040,"COL LUJAN",5001,"MEDELLIN","ANTIOQUIA",NA,"NO OFICIAL","COMPLETA U ORDINARIA",27,52.41,49.67,54.07,48.44,57.44,51.74,52.11
93146,"INSTITUTO GABRIEL GABRIEL GARCIA MARQUEZ   GAMMA - SEDE PRINCIPAL",81001,"ARAUCA","ARAUCA","A","NO OFICIAL","COMPLETA U ORDINARIA",11,47.09,42.73,42.64,37,45,42.82,43.91
66373,"LIC DEL VALLE",76520,"PALMIRA","VALLE","B","NO OFICIAL","MAÑANA",6,40.67,41.5,34,31,39,44.33,34
169599,"FUNDACIÀN INTEGRAL SIGLO XXI",19050,"ARGELIA","CAUCA","A","NO OFICIAL","SABATINA - DOMINICAL",14,43.21,41.07,41.29,42.5,41.93,42.5,40.43
55632,"INST NUEVA JERUSALEN",76563,"PRADERA","VALLE","B","NO OFICIAL","MAÑANA",9,47.89,45.11,46.22,45,46.44,46.22,46.11
168864,"LICEO ANGLO COLOMBIANO",63190,"CIRCASIA","QUINDIO","B","NO OFICIAL","COMPLETA U ORDINARIA",6,68.17,64,74.5,65.67,77.33,65.17,72
75283,"COL TRIANGULO CENTRO",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","MAÑANA",14,46.64,48.5,47.29,47.86,48.29,49.71,48.14
143016,"FUNDACION EDUCATIVA JOSE ANGEL HERRERA MORA",76001,"CALI","VALLE","B","NO OFICIAL","TARDE",7,44.71,43.29,43.86,49.86,47.86,42.57,43.86
17368,"COLEGIO CLARETIANO SANTA DOROTEA",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",127,61.39,58.57,60.02,62.35,59.23,60.08,59.46
100073,"INSTITUTO METROPOLITANO DE BUCARAMANGA - SEDE PRINCIPAL",68081,"BARRANCABERMEJA","SANTANDER","A","NO OFICIAL","SABATINA - DOMINICAL",12,45.33,42.33,44.42,41.25,45.33,44.33,43.17
104851,"COL INSUCA",52001,"PASTO","NARIÑO","A","NO OFICIAL","MAÑANA",60,54.63,56.33,56.67,57.67,48.82,57.1,57.05
79269,"CENT DE ENSENANZA LATINOAMERICANA - CENLA",5001,"MEDELLIN","ANTIOQUIA","A","NO OFICIAL","MAÑANA",23,49.7,52.13,51.48,47.57,54.52,52.48,51.52
74732,"COLEGIO ANA  JULIA  HOLGUIN  DE  HURTADO",76130,"CANDELARIA","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",60,59.82,61.87,61.72,66.98,54.4,63.55,60.17
100826,"CENTRO EDUCATIVO NUEVO MILENIO",76109,"BUENAVENTURA","VALLE","A","NO OFICIAL","NOCHE",5,40.4,33.4,31.4,32.6,39.2,33.6,33.8
170563,"CENTRO DOCENTE PARA ADULTOS - EDIMA - SEDE PRINCIPAL",76250,"EL DOVIO","VALLE","A","NO OFICIAL","SABATINA - DOMINICAL",17,45.59,45.71,46.59,44.12,43.18,47.29,46.29
19331,"COL ABRAHAM LINCOLN",11001,"BOGOTÁ D.C.","BOGOTA","B","NO OFICIAL","COMPLETA U ORDINARIA",72,66.49,76.49,72.17,74.22,83.81,78.39,69.11
177634,"CENTRO PEDAG¿GICO MARIA DE LA PAZ - SEDE PRINCIPAL",52001,"PASTO","NARIÑO","A","NO OFICIAL","SABATINA - DOMINICAL",1,53,59,58,52,55,62,59
97022,"CENTRO DE ESTUDIOS HUITAKA",25269,"FACATATIVA","CUNDINAMARCA","A","NO OFICIAL","MAÑANA",31,48.68,46.74,49.26,49.61,45.48,47.55,49.26
36889,"COLEGIO LOS ANGELES DEL NORTE",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",49,59.18,59.8,60.08,62.9,61.63,61.45,59.37
3327,"COLEGIO HEBREO UNION - SEDE PRINCIPAL",8001,"BARRANQUILLA","ATLANTICO","B","NO OFICIAL","COMPLETA U ORDINARIA",12,68.33,73.08,70,66.33,86.5,74.42,67.92
102582,"CENT EDUC DIST AULAS COLOMBIANAS EL CONSUELO",11001,"BOGOTÁ D.C.","BOGOTA","A","OFICIAL","NOCHE",3,36,39,41,40,42,46.33,43.67
130435,"INST CENT DE SISTEMAS AVANZADOS",8001,"BARRANQUILLA","ATLANTICO","A","NO OFICIAL","SABATINA - DOMINICAL",32,45.94,44.16,46.25,41.03,44.13,45.25,46.81
74633,"COOPERATIVA ESPECIALIZADA EN EDUCACION REINEL BETANCOURTH",76001,"CALI","VALLE","B","NO OFICIAL","NOCHE",10,46.9,43.9,44.5,39,42,44.2,44
126870,"CENTRO EDUCATIVO SAN AGUSTIN - SEDE PRINCIPAL",15001,"TUNJA","BOYACA","A","NO OFICIAL","MAÑANA",35,51.29,48.51,49.66,50.11,48.54,50.23,48.51
79327,"GIMN LA MONTAÑA",11001,"BOGOTÁ D.C.","BOGOTA","B","NO OFICIAL","COMPLETA U ORDINARIA",47,70.68,78.15,75.62,75.51,90.34,79.45,71.06
193391,"INSTITUTO INTEGRADO MAGDALENA MEDIO - SEDE PRINCIPAL",17380,"LA DORADA","CALDAS","A","NO OFICIAL","SABATINA - DOMINICAL",19,42.68,41.21,42.42,40.11,45.79,41.11,43.37
112227,"COLEGIO MAYOR SAN ANTONIO DE PADUA",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",33,52.18,54.48,53,56.67,59.3,55.91,53.67
123752,"COLEGIO DE ADULTOS NUESTRA SEÑORA DE LAS MERCEDES - SEDE PRINCIPAL",76001,"CALI","VALLE","B","NO OFICIAL","NOCHE",60,40.38,39.68,38.45,36.28,39.37,39.9,39.6
111112,"CENT PANAMERICANO DE CAPACITACION SEDE RESTREPO",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","MAÑANA",41,48.59,47.39,49.27,46.29,46.83,47.95,50.02
169896,"INSTITUCION EDUCATIVA MANUEL URIBE ANGEL",5266,"ENVIGADO","ANTIOQUIA","A","OFICIAL","SABATINA - DOMINICAL",26,45.85,45.65,44.81,42.62,43.73,45.23,46.12
81182,"COL HEISENBERG SEDE KENNEDY",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","MAÑANA",29,50.76,49.03,50.34,48.14,51.45,50.66,52.03
69112,"BTO MODERNO DE ADULTOS EXTERNADO DEL SUR",52001,"PASTO","NARIÑO","A","NO OFICIAL","TARDE",79,46.29,44.65,45.43,44.65,45.27,45.08,45.63
51292,"ASPAEN LOS CORALES",8573,"PUERTO COLOMBIA","ATLANTICO","B","NO OFICIAL","COMPLETA U ORDINARIA",13,64.08,63.54,66.92,67.38,81.46,67,64.08
58933,"FUND PARA LA ACTUALIZACION DE LA EDUCACION",25799,"TENJO","CUNDINAMARCA",NA,"NO OFICIAL","COMPLETA U ORDINARIA",6,54.83,57.17,63,59.83,62.17,56.83,57.83
94656,"COLEGIO NUEVO MILENIO",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",10,52,44.9,47.7,43.1,45.3,45.9,49.1
163378,"COLEGIO CORPORACIÓN IBEROAMERICANA - SEDE PRINCIPAL",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","SABATINA - DOMINICAL",2,53,48,50.5,59.5,45,45.5,53
130658,"COLEGIO CEVAL - (CON ESFUERZO, VALOR, ALEGRÍA Y LUCHA) - SEDE PRINCIPAL",17174,"CHINCHINA","CALDAS","A","NO OFICIAL","SABATINA - DOMINICAL",9,46.22,43.11,44.56,42,44.78,43,46
95596,"COL BOLIVARIANO POPAYAN",19001,"POPAYAN","CAUCA","B","NO OFICIAL","COMPLETA U ORDINARIA",2,42.5,49.5,45,50,48,46.5,46.5
165274,"POLITECNICO MAYOR ANDINO",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","MAÑANA",14,52.14,51.79,55.5,51.07,52.57,51.43,54.64
59865,"INSTITUCION EDUCATIVA SAN MATEO",25754,"SOACHA","CUNDINAMARCA","A","OFICIAL","NOCHE",22,46.77,48.36,48.59,49.32,48.82,49.82,49.27
179358,"COLEGIO SAN JOSÉ - SEDE PRINCIPAL",8573,"PUERTO COLOMBIA","ATLANTICO","B","NO OFICIAL","COMPLETA U ORDINARIA",82,61.67,66.05,67.6,68.35,73.95,68.2,65.5
66126,"INSTITUTO  COLOMBIA",76001,"CALI","VALLE","B","NO OFICIAL","NOCHE",64,43.2,44.2,42.78,41.34,44.81,45.36,43.08
120469,"INST BILINGUE DEL NORTE",8001,"BARRANQUILLA","ATLANTICO","B","NO OFICIAL","MAÑANA",13,57.77,55.62,59.54,61.23,65.23,56.62,57.77
135756,"CORPORACION EDUCATIVA ARKOS U",25269,"FACATATIVA","CUNDINAMARCA","A","NO OFICIAL","NOCHE",24,46.96,42.71,46.63,42.42,42.79,43.71,47.17
124537,"INSTITUTO MANZANARES",17433,"MANZANARES","CALDAS","A","OFICIAL","MAÑANA",14,43.36,41.14,39.64,38.93,43,42.29,42
84640,"LICEO CARLOS CASTRO SAAVEDRA",76001,"CALI","VALLE","B","NO OFICIAL","TARDE",5,60.6,69,70.2,74.6,52,71,68.4
84137,"CORP. REG. DE FORM. PROF. - CREF",44430,"MAICAO","LA GUAJIRA","A","NO OFICIAL","NOCHE",1,39,45,31,27,43,52,36
18135,"COL SANTA MARIANA DE JESÚS",76111,"BUGA","VALLE","B","NO OFICIAL","MAÑANA",18,58.44,55.89,60,57.83,55.94,57.5,60
19422,"COL ITALIANO LEONARDO DA VINCI",11001,"BOGOTÁ D.C.","BOGOTA","B","NO OFICIAL","COMPLETA U ORDINARIA",72,68.31,75.81,75.35,72.47,83.26,77.13,70.49
48298,"ASPAEN LICEO TACURÍ",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",20,69.65,74.95,72.8,71.25,81.85,76.65,74.4
178202,"ALAS COLEGIO  - SEDE PRINCIPAL",76364,"JAMUNDI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",6,63.5,73.67,71.5,71.5,69.17,73.5,67.5
169771,"I.E. COLEGIO LA RIOJA DE GIRÓN - SEDE PRINCIPAL",68307,"GIRON","SANTANDER","A","NO OFICIAL","COMPLETA U ORDINARIA",11,44.09,43.82,43.45,41.91,40.82,43.91,44.09
156604,"COLEGIO CANADIENSE - SEDE PRINCIPAL",5380,"LA ESTRELLA","ANTIOQUIA","B","NO OFICIAL","COMPLETA U ORDINARIA",50,56.84,56.86,62.82,58.92,77.32,59.48,61.66
130138,"FUND COL SANTA ISABEL DE HUNGRIA",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",63,54.51,52.84,55.08,54.51,51.17,54.21,55.17
89425,"COLEGIO BILINGUE WASHINGTON",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",4,50.75,54,59,56.25,64.5,53,58.25
108720,"COLEGIO LABOYOS",41551,"PITALITO","HUILA","A","NO OFICIAL","SABATINA - DOMINICAL",24,42.83,46.54,44.42,40.33,42,45.67,44.88
78733,"CENTRO EDUCATIVO ETIEVAN -  COLEGIO ENCUENTROS",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",21,60.29,60.05,62.48,62.33,70.38,63.33,61.38
169615,"COL COMFANDI TERRANOVA",76364,"JAMUNDI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",29,56.55,56.38,58.21,60.9,55.86,57.52,56.45
134007,"LIC ANTONIO NARIÑO ( LICEO AMERICANO)",41001,"NEIVA","HUILA","A","NO OFICIAL","SABATINA - DOMINICAL",15,45.2,46.67,46.07,45.07,47.53,48.4,44.93
126458,"INSTITUTO NACIONAL DE SERVICIOS EDUCATIVOS (INSED)",73001,"IBAGUE","TOLIMA","A","NO OFICIAL","MAÑANA",27,51.74,47.78,55.74,53.07,48.78,49.22,54.93
94250,"GIMN LOS CAOBOS",25175,"CHIA","CUNDINAMARCA","B","NO OFICIAL","COMPLETA U ORDINARIA",86,63.1,68.6,67.17,68.14,82.81,71.08,65.78
66951,"COL TIERRA NUEVA",25377,"LA CALERA","CUNDINAMARCA","B","NO OFICIAL","COMPLETA U ORDINARIA",20,60.9,62.15,63.95,67.1,76.35,62.8,62.45
155721,"NUEVO INSTITUTO DE APRENDIZAJE SURCOLOMBIANO - SEDE PRINCIPAL",86001,"MOCOA","PUTUMAYO","A","NO OFICIAL","NOCHE",15,41.8,48,44.4,43.87,45.53,50.47,44.87
62356,"COLEGIO LUIS CARLOS GALAN SARMIENTO",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",27,61.15,59.74,61.89,61.59,55.37,63.3,60.19
103770,"COL ANGLO COLOMBIANO - SEDE PRINCIPAL",66001,"PEREIRA","RISARALDA","A","NO OFICIAL","MAÑANA",31,49.03,49.45,50.58,48.19,50.42,50.65,50.61
17640,"INSTITUTO SINTRAEMCALI - SEDE PRINCIPAL",76001,"CALI","VALLE","B","NO OFICIAL","NOCHE",16,46.31,39.94,44.5,39.25,42.25,41.38,43.13
20966,"CENT EDUC DIST REINO DE HOLANDA",11001,"BOGOTÁ D.C.","BOGOTA","A","OFICIAL","NOCHE",13,47.38,45.69,48.23,49.77,44.69,43.69,47.92
89607,"BTO ACAD CICLICO DEL CAUCA",19001,"POPAYAN","CAUCA","A","NO OFICIAL","MAÑANA",18,47.06,48.44,49.56,45.06,47.44,51.56,49
144014,"58/01 INSTITUCION EDUCATIVA GABRIELA MISTRAL",76001,"CALI","VALLE","A","OFICIAL","NOCHE",14,44,39.36,42.36,38,42.14,39.36,43.21
106120,"EL NUEVO COL THE NEW SCHOOL",5001,"MEDELLIN","ANTIOQUIA","B","NO OFICIAL","COMPLETA U ORDINARIA",34,56.21,55.26,57.41,54.94,66.88,57.26,55.82
19695,"COL SAN TARSICIO",11001,"BOGOTÁ D.C.","BOGOTA","B","NO OFICIAL","COMPLETA U ORDINARIA",27,63.81,73,71.96,71.78,81.63,73.3,67.44
135905,"LIC CAMPESTRE DE PEREIRA",66001,"PEREIRA","RISARALDA","B","NO OFICIAL","COMPLETA U ORDINARIA",14,72.71,83.14,77,76.79,85.57,83.43,72.43
82933,"COL MIGUEL ANGEL BUONARROTI",76001,"CALI","VALLE","B","NO OFICIAL","NOCHE",78,42.54,41.76,41.01,38.05,44.06,41.74,41.41
