"CODINST","NOMBREINSTITUCION","CODIGOMUNICIPIO","NOMBREMUNICIPIO","DEPARTAMENTO","CALENDARIO","NATURALEZA","JORNADA","EVALUADOS","PROMLECTURACRITICA","PROMMATEMATICA","PROMSOCIALESYCIUDADANAS","PROMCIENCIASNATURALES","PROMINGLES","PROMRAZONAMIENTOCUANTITA","PROMCOMPETENCIASCIUDADAN"
130187,"COLEGIO MONTEMAYOR SAGRADO CORAZON - SEDE PRINCIPAL",5266,"ENVIGADO","ANTIOQUIA","B","NO OFICIAL","COMPLETA U ORDINARIA",26,60.12,61.73,63.42,64.31,82.19,64.04,63.31
140194,"INSTITUTO CRISTIANO MISION BOSTON",8758,"SOLEDAD","ATLANTICO","A","NO OFICIAL","MAÑANA",3,44.67,38.67,44.33,41,42.33,37,45.67
101295,"COLEGIO CENACAP",50001,"VILLAVICENCIO","META","A","NO OFICIAL","SABATINA - DOMINICAL",11,47.64,44.36,45.73,45.36,46.18,46.18,44.91
43562,"COL CAMPOALEGRE LTDA - SEDE PRINCIPAL",25758,"SOPO","CUNDINAMARCA","B","NO OFICIAL","COMPLETA U ORDINARIA",16,71.94,82.44,76.06,78.19,88,85.19,70.5
146134,"IE MUNICIPAL NACIONAL - SEDE PRINCIPAL",41551,"PITALITO","HUILA","A","OFICIAL","SABATINA - DOMINICAL",38,46.37,45.29,44.95,44.5,44.05,45.58,46.03
136036,"CENT EDUC DIST CAFAM LOS NARANJOS",11001,"BOGOTÁ D.C.","BOGOTA","A","OFICIAL","SABATINA - DOMINICAL",42,45.07,43.38,44.79,42.9,45,45.48,45.48
110007,"INST. DE EDUCACIÓN FORMAL DE ADULTOS AMERICANO - SEDE PRINCIPAL",76275,"FLORIDA","VALLE","A","NO OFICIAL","SABATINA - DOMINICAL",3,36.33,47.33,42.67,42.33,45.67,48.33,43.33
51144,"INST EDUC SANTA ROSA DE LIMA",5001,"MEDELLIN","ANTIOQUIA","A","OFICIAL","NOCHE",11,47,46.36,47.91,44.91,43.64,48.09,48
19497,"COL SANTA MARIA",11001,"BOGOTÁ D.C.","BOGOTA","B","NO OFICIAL","COMPLETA U ORDINARIA",90,69.86,71.71,72.11,71.09,83.89,73.82,68.87
21485,"COL JOSE MAX LEON",25214,"COTA","CUNDINAMARCA","B","NO OFICIAL","COMPLETA U ORDINARIA",56,69.71,75.75,74.64,75.63,78.82,77.63,71.18
105890,"COL COMFANDI - YUMBO - SEDE PRINCIPAL",76892,"YUMBO","VALLE","B","NO OFICIAL","MAÑANA",45,57.31,57.33,57.71,59.33,57.4,58.98,57.11
135350,"INSTITUCION EDUCATIVA SYSDATEC BACHILLERATO POR CICLOS - SEDE PRINCIPAL",73411,"LIBANO","TOLIMA","A","NO OFICIAL","MAÑANA",14,43.79,44.57,44,44.64,49.14,44.5,45.43
88641,"COLEGIO LEONARDO DA VINCI",5266,"ENVIGADO","ANTIOQUIA","B","NO OFICIAL","COMPLETA U ORDINARIA",10,71.7,79.6,76,75.9,79,80.5,72.5
111302,"COLEGIO PERSONALIZADO PENSAMIENTO CALI - SEDE PRINCIPAL",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",1,70,41,65,42,41,39,60
95786,"FUND COL  NUESTRA SRA DE GUADALUPE",76001,"CALI","VALLE","B","NO OFICIAL","MAÑANA",49,52.63,52.04,52.8,52.27,49.27,52.06,52.98
95000,"LIC LOS ANGELES",76520,"PALMIRA","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",18,55.5,56.06,56.22,58.72,56.78,58.11,54.83
136127,"COL MILIT TEC ALMIRANTE COLON",76520,"PALMIRA","VALLE","B","NO OFICIAL","MAÑANA",93,51.11,49.82,50.77,51.47,49.48,51.33,51.15
136937,"CORP COCFE",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","MAÑANA",8,46.13,45.25,44,46.88,47.13,46,44.13
94078,"COL JHON DALTON",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","MAÑANA",13,52.23,50.77,54.77,54.54,48.38,53,55.08
103408,"ESC DE DIRECCION ACADEMICA",25269,"FACATATIVA","CUNDINAMARCA","A","NO OFICIAL","MAÑANA",14,48.43,47,49.36,48,45.07,45.64,50
75507,"EXTERN SIMON BOLIVAR",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","MAÑANA",49,44.9,43.47,43.78,42,44.22,44.18,44.22
82396,"INSTITUTO DE EDUCACIÓN COMFENALCO  CONSUELO MONTOYA GIL",5001,"MEDELLIN","ANTIOQUIA","A","NO OFICIAL","MAÑANA",41,44.1,43.22,43.93,39.88,45.9,43.54,44.44
66480,"CENTRO EDUCATIVO CIENCIA - SEDE PRINCIPAL",66170,"DOS QUEBRADAS","RISARALDA","A","NO OFICIAL","SABATINA - DOMINICAL",12,47.33,45.92,45.42,45.67,48,46.83,45.42
126557,"INSTITUTO LATINOAMERICANO - SEDE PRINCIPAL",17001,"MANIZALES","CALDAS","A","OFICIAL","MAÑANA",4,52.75,53.75,50.25,51.25,49,54.5,48.5
130526,"CENTRO DE EDUCACION DE ADULTOS NICOLAS GUILLEN - SEDE PRINCIPAL",8758,"SOLEDAD","ATLANTICO","A","NO OFICIAL","NOCHE",34,43.62,42.71,39.44,37.41,42.56,43.03,40.53
84749,"INST. CENTRAL DE COLOMBIA PARA ADULTOS  (513001004018)",13001,"CARTAGENA","BOLIVAR","A","NO OFICIAL","MAÑANA",23,47,44,45.35,44.13,46.17,44.96,45.26
