"EP732","EP740","EP740S1","EP741","EP741S1","EP6240","EP6240S1","EP6250","EP6260","EP6270","EP6280","EP6290","EP6290S1","EP6300","EP6310","EP6310S1","EP6320","EP6330","EP742","EP743","EP744","DIRECTORIO_GEIH","HOGAR_GEIH","ORDEN_PERSONA_GEIH","FEX_C"
1,"MANEJO DE PERSONAL",30,3,"",1,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757370","1","3",192.742816445303
1,"MANEJO DE PERSONAL",30,3,"",1,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757370","1","5",192.742816445303
2,"VENTAS DE CELULARES",45,3,"",1,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757374","1","1",182.520653780528
1,"PREPARADOR FISICO",18,1,"",6,"DESCANSO",2,2,2,2,1.79769313486232e+308,"",1,12,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757376","1","3",232.321392746812
1,"TECNICO MECANICO",3,1,"",1,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757487","1","2",798.76647466578
1,"CONTADORA DE UNA EMPRESA",11,3,"",1,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757487","1","3",798.76647466578
1,"MEDICO PEDIATRA",6,3,"",3,"",2,2,2,2,1.79769313486232e+308,"",2,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757487","1","4",798.76647466578
1,"ADMINISTRAR PROPIO NEGOCIO",21,1,"",1,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757488","1","2",1309.31317457217
1,"GEFE DE ENFERMERIA",7,3,"",1,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757488","1","4",1309.31317457217
1,"GERENCIA O ADMINISTRADORA DE SU PROPIO NEGOCIO",21,3,"",1,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"3757489","1","2",650.354597342651
